DivisNum,Division
101,CANBERRA
102,FRASER
103,BANKS
104,BARTON
105,BENNELONG
106,BEROWRA
107,BLAXLAND
108,BRADFIELD
109,CALARE
110,CHARLTON
111,CHIFLEY
112,COOK
113,COWPER
114,CUNNINGHAM
115,DOBELL
117,EDEN-MONARO
118,FARRER
119,FOWLER
120,GILMORE
121,GRAYNDLER
122,GREENWAY
124,HUGHES
125,HUME
126,HUNTER
127,KINGSFORD SMITH
128,LINDSAY
130,LYNE
131,MACARTHUR
132,MACKELLAR
133,MACQUARIE
134,MITCHELL
135,NEW ENGLAND
136,NEWCASTLE
137,NORTH SYDNEY
138,PAGE
139,PARKES
140,PARRAMATTA
144,REID
145,RICHMOND
146,ROBERTSON
148,SHORTLAND
149,SYDNEY
150,THROSBY
151,WARRINGAH
152,WENTWORTH
153,WERRIWA
155,BOWMAN
156,BRISBANE
157,CAPRICORNIA
158,DAWSON
159,FADDEN
160,FAIRFAX
161,FISHER
162,FORDE
163,GRIFFITH
164,GROOM
165,HERBERT
166,HINKLER
167,KENNEDY
168,LEICHHARDT
169,LILLEY
170,MARANOA
171,MCPHERSON
172,MONCRIEFF
173,MORETON
174,OXLEY
175,PETRIE
176,RANKIN
177,RYAN
178,WIDE BAY
179,ADELAIDE
180,BARKER
182,BOOTHBY
183,GREY
185,HINDMARSH
186,KINGSTON
187,MAKIN
188,MAYO
189,PORT ADELAIDE
190,STURT
191,WAKEFIELD
192,BASS
193,BRADDON
194,DENISON
195,FRANKLIN
196,LYONS
197,ASTON
198,BALLARAT
199,BATMAN
200,BENDIGO
201,BRUCE
203,CALWELL
204,CASEY
205,CHISHOLM
207,CORANGAMITE
208,CORIO
209,DEAKIN
210,DUNKLEY
211,FLINDERS
212,GELLIBRAND
213,GIPPSLAND
214,GOLDSTEIN
215,HIGGINS
216,HOLT
217,HOTHAM
218,INDI
219,ISAACS
220,JAGAJAGA
221,KOOYONG
222,LALOR
223,LA TROBE
224,MALLEE
225,MARIBYRNONG
226,MCEWEN
227,MCMILLAN
228,MELBOURNE
229,MENZIES
230,MELBOURNE PORTS
231,MURRAY
232,SCULLIN
233,WANNON
234,WILLS
235,BRAND
236,CANNING
237,COWAN
238,CURTIN
239,FORREST
240,FREMANTLE
242,MOORE
243,O'CONNOR
244,PEARCE
245,PERTH
246,STIRLING
247,SWAN
248,TANGNEY
249,PATERSON
250,RIVERINA
251,WATSON
252,DICKSON
302,LONGMAN
304,BLAIR
305,HASLUCK
306,LINGIARI
307,SOLOMON
309,GORTON
310,BONNER
311,FLYNN
312,DURACK
315,MCMAHON
316,WRIGHT
